,Event Date,Event Type,Restoration,Number of Customers Affected,Area Affected,States,Event Category,Region
3964,2022-08-01 09:44:00,Vandalism,2022-08-01 09:45:00,0,Georgia: DeKalb County;,Georgia,Vandalism,Southern
3965,2022-08-01 08:03:00,Actual Physical Attack,2022-08-01 09:00:00,0,California: Los Angeles County;,California,Vandalism,West
3966,2022-08-03 02:00:00,Suspicious Activity,2022-08-03 03:07:00,0,Texas: Cameron County;,Texas,Vandalism,Southern
3967,2022-08-03 02:30:00,Severe Weather,,80000,Minnesota: Wisconsin:,Minnesota,Severe Weather,MidWest
3967,2022-08-03 02:30:00,Severe Weather,,80000,Minnesota: Wisconsin:,Wisconsin,Severe Weather,MidWest
3968,2022-08-03 19:00:00,Severe Weather,2022-08-05 08:53:00,71000,"Michigan: Wayne County, Washtenaw County, St. Clair County, Macomb County, Monroe County, Oakland County;",Michigan,Severe Weather,MidWest
3969,2022-08-03 17:00:00,Severe Weather,2022-08-03 20:30:00,91264,"Michigan: Allegan County, Van Buren County, Barry County, Kalamazoo County, Calhoun County, Jackson County, Calhoun County, Washtenaw County;",Michigan,Severe Weather,MidWest
3970,2022-08-04 18:00:00,Severe Weather,2022-08-05 02:00:00,75500,"Maryland: Anne Arundel County, Baltimore County, Baltimore, City of[16];",Maryland,Severe Weather,Southern
3971,2022-08-05 14:52:00,Vandalism,2022-08-05 16:41:00,0,Washington: Lewis County;,Washington,Vandalism,West
3972,2022-08-05 02:00:00,Actual Physical Attack,2022-08-05 06:30:00,350,Washington:,Washington,Vandalism,West
3973,2022-08-09 15:18:00,Vandalism,2022-08-09 15:19:00,0,Washington: Kitsap County;,Washington,Vandalism,West
3974,2022-08-09 16:42:00,System Operations,2022-08-09 22:12:00,62464,Ohio:,Ohio,System Operations,MidWest
3975,2022-08-09 02:29:00,System Operations,2022-08-09 03:00:00,0,Missouri:,Missouri,System Operations,MidWest
3976,2022-08-09 12:12:00,System Operations,2022-08-09 13:08:00,0,Florida: Palm Beach County;,Florida,System Operations,Southern
3978,2022-08-10 01:25:00,Severe Weather,2022-08-10 01:30:00,0,Arkansas: Lawrence County;,Arkansas,Severe Weather,Other
3979,2022-08-10 15:00:00,Vandalism,2022-08-10 15:01:00,0,Alabama: Jefferson County;,Alabama,Vandalism,Southern
3980,2022-08-10 19:56:00,Severe Weather,2022-08-11 20:00:00,140464,Texas: Harris County;,Texas,Severe Weather,Southern
